date,daily_return
1987-10-02,0.0022582272606903194
1987-10-05,3.0417581773967807e-05
1987-10-06,-0.02737691607714024
1987-10-07,-0.0021324414295246738
1987-10-08,-0.013845660722322932
1987-10-09,-0.009884431143043835
1987-10-12,-0.005415326441263715
1987-10-13,0.016444967850579605
1987-10-14,-0.029982005420489795
1987-10-15,-0.02370376496650609
1987-10-16,-0.05297555392615544
1987-10-19,-0.22899728603345368
1987-10-20,0.05195357005990707
1987-10-21,0.0870887965237938
1987-10-22,-0.03999508550466891
1987-10-23,-0.00012084830607945274
1987-10-26,-0.08641825057785363
1987-10-27,0.023956378338489955
1987-10-28,0.0003858612076735309
1987-10-29,0.04807956797630828
1987-10-30,0.02827636853447416
