date,daily_return
1989-01-23,-0.007458948890764631
1989-01-24,0.01392713588513811
1989-01-25,0.0022506610908640985
1989-01-26,0.008780552317153576
1989-01-27,0.007275757010309647
1989-01-30,0.0039740644853870815
1989-01-31,0.008371959313200717
1989-02-01,-0.001278272793717386
1989-02-02,-0.0008418501097697607
1989-02-03,0.00043786694540048253
1989-02-06,-0.0031365185170084487
1989-02-07,0.012053787244183505
1989-02-08,-0.0032760976962315034
1989-02-09,-0.008710170502272593
1989-02-10,-0.013739872787440854
1989-02-13,0.0017791832167729242
1989-02-14,-0.002498541485321115
1989-02-15,0.00829283048365785
1989-02-16,0.0019353450944658839
1989-02-17,0.006592691467650619
1989-02-21,-0.0026318426366261534
1989-02-22,-0.017277968019156452
1989-02-23,0.003911025115546949
1989-02-24,-0.016989886807067377
1989-02-27,0.002400218307741154
1989-02-28,0.0036067807725716676
1989-03-01,-0.006076724392372326
1989-03-02,0.009843169853472456
1989-03-03,0.004233071068683203
1989-03-06,0.012389465269556208
1989-03-07,-0.003193596697797966
1989-03-08,0.0007143174438197414
1989-03-09,-0.0005101746740064462
1989-03-10,-0.0035786333494755842
1989-03-13,0.008296553508224256
1989-03-14,-0.0006096693244536886
1989-03-15,0.005170585544057205
1989-03-16,0.00929361653788825
1989-03-17,-0.02280003496765695
1989-03-20,-0.009508967611834403
1989-03-21,0.004851530013300087
1989-03-22,-0.0028874805094402413
1989-03-23,-0.005211599090710709
1989-03-27,0.005487016743571964
1989-03-28,0.003504157107905194
1989-03-29,0.0026030420645569746
1989-03-30,0.0005812673461158556
1989-03-31,0.00800156184222181
1989-04-03,0.005141639396555256
1989-04-04,-0.0036505603075016636
1989-04-05,0.0031442598636118257
1989-04-06,-0.003211950393489726
1989-04-07,0.006312773360681783
1989-04-10,-0.00016833530748540656
1989-04-11,0.0046340074173964
1989-04-12,0.0016736966360845326
1989-04-13,-0.008700222523522903
1989-04-14,0.016595641946241045
1989-04-17,0.001193924255229817
1989-04-18,0.014150984361735614
1989-04-19,0.003685784345506982
1989-04-20,-0.003130375467906694
1989-04-21,0.011107561352420848
1989-04-24,-0.0029758486406009045
1989-04-25,-0.0063044613913793976
1989-04-26,0.000586601105106031
1989-04-27,0.008596812075566668
1989-04-28,0.00019388287278041826
1989-05-01,-0.001680844416168839
1989-05-02,-0.003240233590653335
1989-05-03,0.00012983885590087325
1989-05-04,-0.0012664254223753646
1989-05-05,-0.0005200158353546098
1989-05-08,-0.005247597283442037
1989-05-09,-0.0026505604789869397
1989-05-10,0.0019967121032177983
1989-05-11,0.003753654065686661
1989-05-12,0.022198382590284175
1989-05-15,0.007365135910009348
1989-05-16,-0.0027872971276499377
1989-05-17,0.006953729812520394
1989-05-18,0.001542183718862182
1989-05-19,0.01023143437415748
1989-05-22,0.002300989014816481
1989-05-23,-0.011432276807644817
1989-05-24,0.0025727347543492603
1989-05-25,9.399438517174913e-05
1989-05-26,0.00755351263931852
1989-05-30,-0.007929638852696694
1989-05-31,0.0045968505794967635
1989-06-01,0.00451373466022844
1989-06-02,0.010965492649825812
1989-06-05,-0.01077916482756702
1989-06-06,0.006839247085764167
1989-06-07,0.0083233391418191
1989-06-08,-0.0006119388390326495
1989-06-09,-0.00018363601413495583
1989-06-12,-0.0013784395979194702
1989-06-13,-0.007167566159170954
1989-06-14,-0.0002470654628621068
1989-06-15,-0.011647722672447194
1989-06-16,0.003959968212856534
1989-06-19,0.0016790269708452134
1989-06-20,-0.0019902815720688185
1989-06-21,-0.002399730011067958
1989-06-22,0.0057249574081685425
1989-06-23,0.017468744777613607
1989-06-26,-0.004277409159733764
1989-06-27,0.005617981049518218
1989-06-28,-0.008039798393265737
1989-06-29,-0.018993909331568738
1989-06-30,-0.00533195027815667
1989-07-03,0.0039233582658989245
1989-07-05,0.004407163604605536
1989-07-06,0.0028339704763410125
1989-07-07,0.010395217555906472
1989-07-10,0.0066260054861498885
1989-07-11,0.005214592708698941
1989-07-12,0.003127893301726595
1989-07-13,0.00042444115577490416
1989-07-14,0.00571174917935486
1989-07-17,0.001806486023331804
1989-07-18,-0.0032841630743435423
1989-07-19,0.013132061267363512
1989-07-20,-0.0066344190267571745
1989-07-21,0.0071405992526250425
1989-07-24,-0.006660957597855525
1989-07-25,0.0006291407572308586
1989-07-26,0.012412115819561797
1989-07-27,0.0115876908871877
1989-07-28,0.00046775124605510395
1989-07-31,0.01142070384544446
1989-08-01,-0.0067552744244570185
1989-08-02,0.0017148817323897237
1989-08-03,0.0011609506855662871
1989-08-04,-0.002381370167520564
