date,daily_return
2022-01-04,-0.0006298202522032699
2022-01-05,-0.019583264304501073
2022-01-06,-0.0009642337401809882
2022-01-07,-0.004058441082336512
2022-01-10,-0.0014420705375388979
2022-01-11,0.009118286452399373
2022-01-12,0.0028137920146670695
2022-01-13,-0.014346029234400533
2022-01-14,0.0008196442695905652
2022-01-18,-0.0185591053980085
2022-01-19,-0.009736790941460195
2022-01-20,-0.011098742304330734
2022-01-21,-0.019095995324635427
2022-01-24,0.0027679047582695165
2022-01-25,-0.012246590556866267
2022-01-26,-0.0014977569258856588
2022-01-27,-0.005398635199970923
2022-01-28,0.024055967914736694
2022-01-31,0.018709826222984446
2022-02-01,0.006839560348317067
2022-02-02,0.009378400448324454
2022-02-03,-0.024693471720120656
2022-02-04,0.005143678439863626
2022-02-07,-0.003708580927828488
2022-02-08,0.00836611346663433
2022-02-09,0.014412842079264784
2022-02-10,-0.01828182448505601
2022-02-11,-0.019151682638086528
2022-02-14,-0.0038479907556283146
2022-02-15,0.015643717646064172
2022-02-16,0.0008808197202838003
2022-02-17,-0.021400504136936647
2022-02-18,-0.007191961663866342
2022-02-22,-0.010194735435016016
2022-02-23,-0.018583735748788438
2022-02-24,0.014846105252724002
2022-02-25,0.022126080551265786
2022-02-28,-0.0024455914631261143
2022-03-01,-0.015594467786613053
2022-03-02,0.018471046780652183
2022-03-03,-0.005268520744245652
2022-03-04,-0.007965684543001903
2022-03-07,-0.029962586814416495
2022-03-08,-0.007260043975698096
2022-03-09,0.025373598122141117
2022-03-10,-0.004301049920247209
2022-03-11,-0.013046278933238144
2022-03-14,-0.007448675095533314
2022-03-15,0.021182629724144964
2022-03-16,0.022136921648393443
2022-03-17,0.012272205068700267
2022-03-18,0.011594814411888112
2022-03-21,-0.0004347548543014596
2022-03-22,0.011240699554074212
2022-03-23,-0.012348630252495208
2022-03-24,0.014242012281618024
2022-03-25,0.005053380704237665
2022-03-28,0.007119551020042568
2022-03-29,0.01218204410139109
2022-03-30,-0.006313588999088777
2022-03-31,-0.015776335226881762
2022-04-01,0.0034044209614630277
2022-04-04,0.008058382532133647
2022-04-05,-0.01263115907400537
2022-04-06,-0.009764433912479721
2022-04-07,0.004244365552037262
2022-04-08,-0.0026545466755523947
2022-04-11,-0.017021334584696127
2022-04-12,-0.0034233005304522353
2022-04-13,0.011112603268901934
2022-04-14,-0.012218480383508163
2022-04-18,-0.0002048892724065068
2022-04-19,0.01593004474938665
2022-04-20,-0.0006186664061825758
2022-04-21,-0.014862855551311067
2022-04-22,-0.028132076377366966
2022-04-25,0.0056817651441118085
2022-04-26,-0.028550008928597752
2022-04-27,0.0020958490249645954
2022-04-28,0.024445655340832175
2022-04-29,-0.03695915978469415
2022-05-02,0.005659199293818601
2022-05-03,0.004825465075359521
2022-05-04,0.029425221557325833
2022-05-05,-0.03630067756409906
