date,daily_return
1973-01-03,0.003938507829702687
1973-01-04,-0.001422757641154472
1973-01-05,0.003928631393957229
1973-01-08,-0.0001668969831929574
1973-01-09,-0.001001712382538391
1973-01-10,-0.0025088075306783195
1973-01-11,0.006759299442726459
1973-01-12,-0.007848372993926104
1973-01-15,-0.007234830837993331
1973-01-16,-0.0025361671336638276
1973-01-17,0.004560441281290362
1973-01-18,0.0014313829734696071
1973-01-19,-0.0005891486568026993
1973-01-22,-0.00481033629334254
1973-01-23,8.460970455128709e-05
1973-01-24,-0.012683701299237333
1973-01-26,-0.0024016342989203235
1973-01-29,-0.0037855574222484777
1973-01-30,-0.001552797949131867
1973-01-31,0.0017251530864961914
1973-02-01,-0.011005758110942877
1973-02-02,-0.0035791026030736273
1973-02-05,-0.001049917991504985
1973-02-06,0.0019240306006742388
1973-02-07,-0.00692645164518911
1973-02-08,-0.004408789293244801
1973-02-09,0.013342864880685444
1973-02-12,0.0119616340504606
1973-02-13,0.006184534675639229
1973-02-14,-0.014490509931523766
1973-02-15,-0.0056632827368276895
1973-02-16,0.004620209656924126
1973-02-20,0.003646137905570997
1973-02-21,-0.006171509633087189
1973-02-22,-0.0021821681480191134
1973-02-23,-0.011247910719822824
1973-02-26,-0.008608894477364229
1973-02-27,-0.01156497620285302
1973-02-28,0.007008733631279851
1973-03-01,-0.0056570639252826235
1973-03-02,0.011015162800355556
1973-03-05,0.0035562050947855277
1973-03-06,0.012523297778346024
1973-03-07,0.0030627762391666927
1973-03-08,-0.0019240306006741677
1973-03-09,-0.003859336718670697
1973-03-12,0.0006149764687999939
1973-03-13,0.005430535688034294
1973-03-14,0.0043580648194344596
1973-03-15,-0.007507678978159256
1973-03-16,-0.005095344606731027
1973-03-19,-0.012139644472851843
1973-03-20,-0.0019632455484505117
1973-03-21,-0.013127315993824848
1973-03-22,-0.015046119522609713
1973-03-23,0.00036745284911705905
1973-03-26,0.008778395001877985
1973-03-27,0.015537812755727487
1973-03-28,0.0005377290917835367
1973-03-29,0.009717870164301513
1973-03-30,-0.010614223220544035
1973-04-02,-0.012088522096221622
1973-04-03,-0.00856811776424627
1973-04-04,-0.004311746807037701
1973-04-05,-0.0023010733861269393
1973-04-06,0.006978927795110867
1973-04-09,0.014354764845202051
1973-04-10,0.012103958020456556
1973-04-11,0.004179838198790408
1973-04-12,-0.0008878494161559366
1973-04-13,-0.0044511779345715345
1973-04-16,-0.005726566986425533
1973-04-17,-0.004496814745724592
1973-04-18,0.00539374253583603
1973-04-19,0.005632282163736193
1973-04-23,-0.0053633674634036895
1973-04-24,-0.014262760722820615
1973-04-25,-0.015115036719236684
1973-04-26,0.005063796325011463
1973-04-27,-0.015362101214785446
1973-04-30,-0.002427658808292507
1973-05-01,0.0012145304767883112
1973-05-02,0.012341843092118793
1973-05-03,0.0163735732316536
1973-05-04,0.00705182178209408
1973-05-07,-0.004243235033558879
1973-05-08,0.006492954767574323
1973-05-09,-0.007307511878218555
1973-05-10,-0.00818262145462864
1973-05-11,-0.012585740998869228
1973-05-14,-0.021208779698595418
1973-05-15,0.00630677635320888
1973-05-16,-0.0013145484489087598
1973-05-17,-0.008208006413352915
1973-05-18,-0.016235644214136213
1973-05-21,-0.010939624387429929
1973-05-22,0.008240058768012213
1973-05-23,0.004719468043928275
1973-05-24,0.029072638038688592
1973-05-25,0.007439155052627739
1973-05-29,-0.003991653441476079
1973-05-30,-0.014994174934062238
1973-05-31,-0.009105694244702528
1973-06-01,-0.009766418651745459
1973-06-04,-0.00927990301309029
1973-06-05,0.015897068671800497
1973-06-06,-0.0029675529128142157
1973-06-07,0.0145612739236857
1973-06-08,0.011180672384770473
1973-06-11,-0.003088027884625772
1973-06-12,0.014791692388275695
1973-06-13,-0.006392188548038174
1973-06-14,-0.011215042298142177
1973-06-15,-0.01229332788395884
1973-06-18,-0.01437494826773054
1973-06-19,0.003757405032666534
1973-06-20,0.0043180470776004514
1973-06-21,-0.011847028499776273
1973-06-22,0.004736347099453178
1973-06-25,-0.014081290883854477
1973-06-26,0.010216610745351235
1973-06-27,0.003092982224671947
1973-06-28,0.010273237758667599
1973-06-29,-0.004115825822188302
1973-07-02,-0.013130142160654647
1973-07-03,-0.010060140105146633
1973-07-05,-0.0008839083964719456
1973-07-06,-0.004924662824030423
1973-07-09,0.008455468900750884
1973-07-10,0.013420383080854387
1973-07-11,0.021785749944075204
1973-07-12,-0.002839595352669249
1973-07-13,-0.01345507857088881
1973-07-16,0.015065138779660214
1973-07-17,0.00047308815776323784
1973-07-18,0.005941426015880597
1973-07-19,0.001878859887645394
1973-07-20,0.005521997569865909
1973-07-23,0.003540460797310546
1973-07-24,0.00574983275641349
1973-07-25,0.01377558755794388
1973-07-26,0.0019135190723354515
1973-07-27,-0.002369688881206387
1973-07-30,-0.003107262083145095
1973-07-31,-0.009472630481281153
1973-08-01,-0.012927400396730323
1973-08-02,-0.0014988636258980914
1973-08-03,-0.0016888755048834996
1973-08-06,0.0022512484115439495
1973-08-07,-0.0016879251922686783
1973-08-08,-0.009429583978941168
1973-08-09,0.0005682663304394124
1973-08-10,-0.007985630213788255
1973-08-13,-0.010168905550012463
1973-08-14,-0.009689059509878317
1973-08-15,0.00291661736968901
1973-08-16,-0.007014166214462722
1973-08-17,0.00019547060879000587
1973-08-20,-0.0068654345234211165
1973-08-21,-0.007111153133981669
1973-08-22,-0.0035746300959608444
1973-08-23,0.013633928500688189
1973-08-24,-0.0028497135817890954
1973-08-27,0.007841594962949625
1973-08-28,0.005841123395675243
1973-08-29,0.009756195796481038
1973-08-30,-0.001442946994061524
1973-08-31,0.0035555003243137335
1973-09-04,0.0024909203679421258
1973-09-05,0.0012431008291652439
1973-09-06,0.004862034784140047
1973-09-07,-0.0037158766289855836
1973-09-10,-0.008724504402155834
1973-09-11,-0.006084891082208863
1973-09-12,-0.0015513253359035748
1973-09-13,0.0029067267284917874
1973-09-14,0.010394721267692975
1973-09-17,-0.0027805848493262703
1973-09-18,-0.0036553030903263826
